Question,Answer,Class
What is D.Y.Patil-Agriculture and Technical University ? ,"D.Y. Patil Agriculture & Technical University is located at the village of Talsande in Kolhapur. It is situated around a scenic view and is surrounded by natural beauty. Located only 20 kms away from the historical city of Kolhapur, the University is built over an area of 200 acres and its architecture is plush and eco-friendly. More than 2,500 coconut trees and chikoo trees add grace to its fresh environment.",campus
What is D.Y.Patil-Agriculture and Technical University  group?,"Under the visionary leadership of Hon’ble Dr. Sanjay D. Patil, the eldest son of Hon’ble Dr. D. Y. Patil (Padmashree Awardee), the multi-disciplinary value-based organization has been ranked as one of the best educational institutions in India, strengthening its roots in diverse sectors such as sports, healthcare, agriculture, hospitality, retail, entertainment, and education.",campus
What is location of  D.Y.Patil-Agriculture and Technical University?,D.Y. Patil Agriculture & Technical University is located at the village of Talsande in Kolhapur.,campus
How can we contact/communicate to D.Y.Patil Agriculture and Technical University?,"You can use :                                                                                                                                                                                                    Email
admission@dyp-atu.org
info@dyp-atu.org
hr@dyp-atu.org                                                                                                                                                                                                 Academics  :
Er. Yogesh V. Chimate - 9960956364,
Er. Utkarsh A. Avalekar - 9096171100                                                                       ",campus
What is infrastucture and facilities of D.Y.Patil Agriculture and Technical University?,"Infrastructure of our campus is fascinating and facilities are provided like clean classrooms, smart boards, equipment in laboratory, computers labs, audio visual aids, sports club etc.",campus
What is time period of university for student?,9 am to 4 pm,campus
Information about  D.Y.Patil Agriculture and Technical University campus .,"The dream of Hon. President Dr. Sanjay D. Patil, to transform a barren land into a golden land of the University campus thus came true, with the collaborated efforts of Hon. Vice President, Shri. Satej D. Patil, Hon. Trustee MLA Shri Ruturaj S. Patil, Hon. Trustee Prithviraj S. Patil and Team Talsande. The campus is striving hard to fulfil the dreams of Dr. Sanjay Patil who held immense faith in achieving education for all.  Keeping with the mission of the college to nurture a community of lifelong learners, it aspires to play an important role in sharing the traditional mode of education along with the modern needs of the contemporary society.",campus
Which facility provided in library in  D.Y.Patil Agriculture and Technical University?,"Reading hall facility.
OPAC (Online Public Access Catalogue) access through LAN.
Digital Library with 27 PCs is available for all Students and Staff.
Reprography (Photo Copy) section is available for students and staff in minimum cost.
Open Access to stack area is offered to students and staff.
Engineering Students can take 2 books and MBA students can take 3 books for 15 days on Borrow Cards.
The faculty can avail the facility of five to seven books in a semester.
Book bank facility as well as e-journal, e-book facility is there for all users.
Library is accessible after college hours during the examination period.
The university syllabus and question papers are available in the library.",campus
How many students can take advantage of library at a time?,50 at a time.,library
Is there faculty to guide the student in library,"Yes, faculity is available for student to guide?",library
